mer,mod,var,gir,har,jbb,jt,js,km,kk,ssbb,ten,tor
daihatsu,ayla,1-0l-d-mt,5-Speed,"Rp 211,1 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,64 hp,86 Nm
daihatsu,ayla,1-0l-d-plus-mt,5-Speed,"Rp 143,4 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,64 hp,86 Nm
daihatsu,ayla,1-0l-x-at,4-Speed,"Rp 102,15 Juta*",Bensin,Otomatis,3,998 cc,DOHC,EFI,64 hp,86 Nm
daihatsu,ayla,1-0l-x-at-dlx,4-Speed,"Rp 114,35 Juta*",Bensin,Otomatis,3,998 cc,DOHC,EFI,64 hp,86 Nm
daihatsu,ayla,1-0l-x-mt,5-Speed,"Rp 200,1 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,64 hp,86 Nm
daihatsu,ayla,1-0l-x-mt-dlx,5-Speed,"Rp 155,9 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,64 hp,86 Nm
daihatsu,ayla,1-2l-r-at,4-Speed,"Rp 146,45 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,ayla,1-2l-r-at-dlx,4-Speed,"Rp 141,55 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,ayla,1-2l-r-mt,5-Speed,"Rp 136,45 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,ayla,1-2l-r-mt-dlx,5-Speed,"Rp 132,5 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,ayla,1-2l-x-at,4-Speed,"Rp 134,2 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,ayla,1-2l-x-mt,5-Speed,"Rp 125,15 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,gran-max-mb,1-3-d-ff-fh,5-Speed,"Rp 178,28 Juta*",Bensin,Manual,4,1298 cc,DOHC,EFI,87 hp,115 Nm
daihatsu,gran-max-mb,1-3-d-fh,5-Speed,"Rp 171,88 Juta*",Bensin,Manual,4,1298 cc,DOHC,EFI,87 hp,115 Nm
daihatsu,gran-max-mb,1-5-d-ps-fh,5-Speed,"Rp 187,88 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,gran-max-pu,1-3-3w,5-Speed,"Rp 141,4 Juta*",Bensin,Manual,4,1298 cc,DOHC,EFI,87 hp,115 Nm
daihatsu,gran-max-pu,1-3-std,5-Speed,"Rp 141,4 Juta*",Bensin,Manual,4,1298 cc,DOHC,EFI,87 hp,115 Nm
daihatsu,gran-max-pu,1-5-3w,5-Speed,"Rp 146,1 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,gran-max-pu,1-5-std,5-Speed,"Rp 146,1 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,gran-max-pu,1-5-std-acaps,5-Speed,"Rp 153,1 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,gran-max-pu,box-1-3-sliding,5-Speed,"Rp 163,4 Juta*",Bensin,Manual,4,1298 cc,DOHC,EFI,87 hp,115 Nm
daihatsu,gran-max-pu,box-1-5,5-Speed,"Rp 175,1 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,gran-max-pu,box-1-5-sliding,5-Speed,"Rp 168,1 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,grand-xenia,1-3-r-at,4-Speed,"Rp 206,2 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-r-deluxe-at,4-Speed,"Rp 205,65 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-r-deluxe-mt,5-Speed,"Rp 205,15 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-r-mt,5-Speed,"Rp 238,15 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-x-at,4-Speed,"Rp 227,25 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-x-deluxe-at,4-Speed,"Rp 194,25 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-x-deluxe-mt,5-Speed,"Rp 226,95 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-3-x-mt,5-Speed,"Rp 216,55 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,96 hp,121 Nm
daihatsu,grand-xenia,1-5-r-deluxe-at,4-Speed,"Rp 217,45 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,grand-xenia,1-5-r-deluxe-mt,5-Speed,"Rp 218,05 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,luxio,1-5-d-mt,5-Speed,"Rp 203,7 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,luxio,1-5-x-at,4-Speed,"Rp 232,95 Juta*",Bensin,Otomatis,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,luxio,1-5-x-mt,5-Speed,"Rp 221,85 Juta*",Bensin,Manual,4,1495 cc,DOHC,EFI,96 hp,134 Nm
daihatsu,sigra,1-0-d-mt,5-Speed,"Rp 119,5 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,66 hp,89 Nm
daihatsu,sigra,1-0-m-mt,5-Speed,"Rp 129,9 Juta*",Bensin,Manual,3,998 cc,DOHC,EFI,66 hp,89 Nm
daihatsu,sigra,1-2-r-at,4-Speed,"Rp 158,45 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-r-dlx-at,4-Speed,"Rp 162,25 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-r-dlx-mt,5-Speed,"Rp 149,45 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-r-mt,5-Speed,"Rp 145,65 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-x-at,4-Speed,"Rp 152,05 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-x-dlx-at,4-Speed,"Rp 157,55 Juta*",Bensin,Otomatis,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-x-dlx-mt,5-Speed,"Rp 144,75 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sigra,1-2-x-mt,5-Speed,"Rp 139,25 Juta*",Bensin,Manual,4,1197 cc,DOHC,EFI,87 hp,108 Nm
daihatsu,sirion,1-3l-at,4-Speed,"Rp 147,4 Juta*",Bensin,Otomatis,4,1329 cc,DOHC,EFI,94 hp,120 Nm
daihatsu,sirion,1-3l-mt,5-Speed,"Rp 159,9 Juta*",Bensin,Manual,4,1329 cc,DOHC,EFI,94 hp,120 Nm
daihatsu,terios,r-at,4-Speed,"Rp 254,5 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,terios,r-at-deluxe,4-Speed,"Rp 264,5 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,terios,r-mt,5-Speed,"Rp 244,5 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,terios,r-mt-deluxe,5-Speed,"Rp 254,5 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,terios,x-at-deluxe,4-Speed,"Rp 231,8 Juta*",Bensin,Otomatis,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,terios,x-mt,5-Speed,"Rp 211,8 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
daihatsu,terios,x-mt-deluxe,5-Speed,"Rp 221,8 Juta*",Bensin,Manual,4,1496 cc,DOHC,EFI,103 hp,136 Nm
honda,accord,1-5l,Variable Speed,"Rp 734,1 Juta*",Bensin,CVT,4,1498 cc,DOHC,PGM-FI,187 hp,260 Nm
honda,br-v,e-cvt,Variable Speed,"Rp 276,8 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,br-v,e-mt,6-Speed,"Rp 266,6 Juta*",Bensin,Manual,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,br-v,prestige-cvt,Variable Speed,"Rp 293,8 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,br-v,s-6mt,6-Speed,"Rp 251,2 Juta*",Bensin,Manual,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,brio,rs,5-Speed,"Rp 186,9 Juta*",Bensin,Manual,4,1199 cc,SOHC,PGM-FI,89 hp,110 Nm
honda,brio,rs-cvt,Variable Speed,"Rp 202,2 Juta*",Bensin,CVT,4,1199 cc,SOHC,PGM-FI,89 hp,110 Nm
honda,brio,satya-e,5-Speed,"Rp 157,2 Juta*",Bensin,Manual,4,1199 cc,SOHC,PGM-FI,89 hp,110 Nm
honda,brio,satya-e-cvt,Variable Speed,"Rp 172,6 Juta*",Bensin,CVT,4,1199 cc,SOHC,PGM-FI,89 hp,110 Nm
honda,brio,satya-s,5-Speed,"Rp 148,4 Juta*",Bensin,Manual,4,1199 cc,SOHC,PGM-FI,89 hp,110 Nm
honda,city,e-cvt,Variable Speed,"Rp 355,5 Juta*",Bensin,CVT,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,city,e-mt,5-Speed,Rp 337 Juta*,Bensin,Manual,4,1497 cc,SOHC,PGM-FI,118 hp,145 Nm
honda,civic,1-5l-turbo,Variable Speed,"Rp 536,5 Juta*",Bensin,CVT,4,1498 cc,DOHC,PGM-FI,171 hp,220 Nm
honda,civic-hatchback,e-cvt,Variable Speed,Rp 472 Juta*,Bensin,CVT,4,1498 cc,DOHC,PGM-FI,171 hp,220 Nm
