Merek,Model,Varian,Spesifikasi,Value
toyota,fortuner,2-7-srz-at,Kapasitas mesin,2694 cc
toyota,fortuner,2-7-srz-at,Tenaga,160 hp
toyota,fortuner,2-7-srz-at,Torsi,242 Nm
toyota,fortuner,2-7-srz-at,Jenis Bahan Bakar,Bensin
toyota,fortuner,2-7-srz-at,Girboks,6-Speed
toyota,fortuner,2-7-srz-at,Jenis Transmisi,Otomatis
toyota,fortuner,2-7-srz-at,Jenis penggerak,2WD
toyota,fortuner,2-7-srz-at,Jumlah Silinder,4
toyota,fortuner,2-7-srz-at,Katup per Silinder,4
toyota,fortuner,2-7-srz-at,Konfigurasi Katup,DOHC
toyota,fortuner,2-7-srz-at,Mesin,"2.7L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC"
toyota,fortuner,2-7-trd-at,Kapasitas mesin,2694 cc
toyota,fortuner,2-7-trd-at,Tenaga,160 hp
toyota,fortuner,2-7-trd-at,Torsi,242 Nm
toyota,fortuner,2-7-trd-at,Jenis Bahan Bakar,Bensin
toyota,fortuner,2-7-trd-at,Girboks,6-Speed
toyota,fortuner,2-7-trd-at,Jenis Transmisi,Otomatis
toyota,fortuner,2-7-trd-at,Jenis penggerak,2WD
toyota,fortuner,2-7-trd-at,Jumlah Silinder,4
toyota,fortuner,2-7-trd-at,Katup per Silinder,4
toyota,fortuner,2-7-trd-at,Konfigurasi Katup,DOHC
toyota,fortuner,2-7-trd-at,Mesin,"2.7L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC"
toyota,fortuner,2-4-vrz-at,Kapasitas mesin,2393 cc
toyota,fortuner,2-4-vrz-at,Tenaga,148 hp
toyota,fortuner,2-4-vrz-at,Torsi,400 Nm
toyota,fortuner,2-4-vrz-at,Jenis Bahan Bakar,Diesel
toyota,fortuner,2-4-vrz-at,Girboks,6-Speed
toyota,fortuner,2-4-vrz-at,Jenis penggerak,2WD
toyota,fortuner,2-4-vrz-at,Jenis Transmisi,Otomatis
toyota,fortuner,2-4-vrz-at,Jumlah Silinder,4
toyota,fortuner,2-4-vrz-at,Katup per Silinder,4
toyota,fortuner,2-4-vrz-at,Konfigurasi Katup,DOHC
toyota,fortuner,2-4-vrz-at,Sistem Suplai Bahan Bakar,CRDi
toyota,fortuner,2-4-vrz-at,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC"
toyota,fortuner,2-4-g-at,Kapasitas mesin,2393 cc
toyota,fortuner,2-4-g-at,Tenaga,148 hp
toyota,fortuner,2-4-g-at,Jenis Bahan Bakar,Diesel
toyota,fortuner,2-4-g-at,Torsi,400 Nm
toyota,fortuner,2-4-g-at,Girboks,6-Speed
toyota,fortuner,2-4-g-at,Jenis penggerak,2WD
toyota,fortuner,2-4-g-at,Jenis Transmisi,Otomatis
toyota,fortuner,2-4-g-at,Jumlah Silinder,4
toyota,fortuner,2-4-g-at,Katup per Silinder,4
toyota,fortuner,2-4-g-at,Konfigurasi Katup,DOHC
toyota,fortuner,2-4-g-at,Sistem Suplai Bahan Bakar,CRDi
toyota,fortuner,2-4-g-at,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC"
toyota,fortuner,2-4-g-mt,Kapasitas mesin,2393 cc
toyota,fortuner,2-4-g-mt,Tenaga,148 hp
toyota,fortuner,2-4-g-mt,Jenis Bahan Bakar,Diesel
toyota,fortuner,2-4-g-mt,Torsi,400 Nm
toyota,fortuner,2-4-g-mt,Girboks,6-Speed
toyota,fortuner,2-4-g-mt,Jenis Transmisi,Manual
toyota,fortuner,2-4-g-mt,Jenis penggerak,2WD
toyota,fortuner,2-4-g-mt,Jumlah Silinder,4
toyota,fortuner,2-4-g-mt,Katup per Silinder,4
toyota,fortuner,2-4-g-mt,Konfigurasi Katup,DOHC
toyota,fortuner,2-4-g-mt,Sistem Suplai Bahan Bakar,CRDi
toyota,fortuner,2-4-g-mt,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC"
toyota,fortuner,2-4-vrz-at-4x4,Kapasitas mesin,2393 cc
toyota,fortuner,2-4-vrz-at-4x4,Tenaga,148 hp
toyota,fortuner,2-4-vrz-at-4x4,Jenis Bahan Bakar,Diesel
toyota,fortuner,2-4-vrz-at-4x4,Torsi,400 Nm
toyota,fortuner,2-4-vrz-at-4x4,Girboks,6-Speed
