Merek,Model,Varian,Spesifikasi,Value,Tab
toyota,fortuner,2-7-srz-at,Kapasitas mesin,2694 cc,1.0
toyota,fortuner,2-7-srz-at,Tenaga,160 hp,1.0
toyota,fortuner,2-7-srz-at,Torsi,242 Nm,1.0
toyota,fortuner,2-7-srz-at,Jenis Bahan Bakar,Bensin,1.0
toyota,fortuner,2-7-srz-at,Girboks,6-Speed,4.0
toyota,fortuner,2-7-srz-at,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-7-srz-at,Jenis penggerak,2WD,4.0
toyota,fortuner,2-7-srz-at,Jumlah Silinder,4,5.0
toyota,fortuner,2-7-srz-at,Katup per Silinder,4,5.0
toyota,fortuner,2-7-srz-at,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-7-srz-at,Mesin,"2.7L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-7-trd-at,Kapasitas mesin,2694 cc,1.0
toyota,fortuner,2-7-trd-at,Tenaga,160 hp,1.0
toyota,fortuner,2-7-trd-at,Torsi,242 Nm,1.0
toyota,fortuner,2-7-trd-at,Jenis Bahan Bakar,Bensin,1.0
toyota,fortuner,2-7-trd-at,Girboks,6-Speed,4.0
toyota,fortuner,2-7-trd-at,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-7-trd-at,Jenis penggerak,2WD,4.0
toyota,fortuner,2-7-trd-at,Jumlah Silinder,4,5.0
toyota,fortuner,2-7-trd-at,Katup per Silinder,4,5.0
toyota,fortuner,2-7-trd-at,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-7-trd-at,Mesin,"2.7L Petrol Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-4-vrz-at,Kapasitas mesin,2393 cc,1.0
toyota,fortuner,2-4-vrz-at,Tenaga,148 hp,1.0
toyota,fortuner,2-4-vrz-at,Torsi,400 Nm,1.0
toyota,fortuner,2-4-vrz-at,Jenis Bahan Bakar,Diesel,1.0
toyota,fortuner,2-4-vrz-at,Girboks,6-Speed,4.0
toyota,fortuner,2-4-vrz-at,Jenis penggerak,2WD,4.0
toyota,fortuner,2-4-vrz-at,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-4-vrz-at,Jumlah Silinder,4,5.0
toyota,fortuner,2-4-vrz-at,Katup per Silinder,4,5.0
toyota,fortuner,2-4-vrz-at,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-4-vrz-at,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,fortuner,2-4-vrz-at,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-4-g-at,Kapasitas mesin,2393 cc,1.0
toyota,fortuner,2-4-g-at,Tenaga,148 hp,1.0
toyota,fortuner,2-4-g-at,Jenis Bahan Bakar,Diesel,1.0
toyota,fortuner,2-4-g-at,Torsi,400 Nm,1.0
toyota,fortuner,2-4-g-at,Girboks,6-Speed,4.0
toyota,fortuner,2-4-g-at,Jenis penggerak,2WD,4.0
toyota,fortuner,2-4-g-at,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-4-g-at,Jumlah Silinder,4,5.0
toyota,fortuner,2-4-g-at,Katup per Silinder,4,5.0
toyota,fortuner,2-4-g-at,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-4-g-at,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,fortuner,2-4-g-at,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-4-g-mt,Kapasitas mesin,2393 cc,1.0
toyota,fortuner,2-4-g-mt,Tenaga,148 hp,1.0
toyota,fortuner,2-4-g-mt,Jenis Bahan Bakar,Diesel,1.0
toyota,fortuner,2-4-g-mt,Torsi,400 Nm,1.0
toyota,fortuner,2-4-g-mt,Girboks,6-Speed,4.0
toyota,fortuner,2-4-g-mt,Jenis Transmisi,Manual,4.0
toyota,fortuner,2-4-g-mt,Jenis penggerak,2WD,4.0
toyota,fortuner,2-4-g-mt,Jumlah Silinder,4,5.0
toyota,fortuner,2-4-g-mt,Katup per Silinder,4,5.0
toyota,fortuner,2-4-g-mt,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-4-g-mt,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,fortuner,2-4-g-mt,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-4-vrz-at-4x4,Kapasitas mesin,2393 cc,1.0
toyota,fortuner,2-4-vrz-at-4x4,Tenaga,148 hp,1.0
toyota,fortuner,2-4-vrz-at-4x4,Jenis Bahan Bakar,Diesel,1.0
toyota,fortuner,2-4-vrz-at-4x4,Torsi,400 Nm,1.0
toyota,fortuner,2-4-vrz-at-4x4,Girboks,6-Speed,4.0
toyota,fortuner,2-4-vrz-at-4x4,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-4-vrz-at-4x4,Jenis penggerak,4WD,4.0
toyota,fortuner,2-4-vrz-at-4x4,Jumlah Silinder,4,5.0
toyota,fortuner,2-4-vrz-at-4x4,Katup per Silinder,4,5.0
toyota,fortuner,2-4-vrz-at-4x4,Konfigurasi Katup,DOHC,5.0
toyota,fortuner,2-4-vrz-at-4x4,Sistem Suplai Bahan Bakar,CRDi,5.0
toyota,fortuner,2-4-vrz-at-4x4,Mesin,"2.4L Diesel Engine, Inline 4 Cylinder 16 Valve DOHC",5.0
toyota,fortuner,2-4-g-at-4x4,Kapasitas mesin,2393 cc,1.0
toyota,fortuner,2-4-g-at-4x4,Tenaga,148 hp,1.0
toyota,fortuner,2-4-g-at-4x4,Torsi,400 Nm,1.0
toyota,fortuner,2-4-g-at-4x4,Jenis Bahan Bakar,Diesel,1.0
toyota,fortuner,2-4-g-at-4x4,Girboks,6-Speed,4.0
toyota,fortuner,2-4-g-at-4x4,Jenis penggerak,4WD,4.0
toyota,fortuner,2-4-g-at-4x4,Jenis Transmisi,Otomatis,4.0
toyota,fortuner,2-4-g-at-4x4,Jumlah Silinder,4,5.0
toyota,fortuner,2-4-g-at-4x4,Katup per Silinder,4,5.0
toyota,fortuner,2-4-g-at-4x4,Konfigurasi Katup,DOHC,5.0
